date,amount,type,contra_account_name,message_for_recipient,ks,vs,ss,note,entity_name,text,prediction_new_data
2021-07-29,-4083.75,Bezhotovostní platba,"","pp#17329 FO 2459/2021, pak:p, licence-na-promitani-ceska-trebova, artinii-production-sro",,21072021,42021,"pp#17329 FO 2459/2021, pak:p, licence-na-promitani-ceska-trebova, artinii-production-sro",pirati_stan,"pp#17329 FO 2459/2021, pak:p, licence-na-promitani-ceska-trebova, artinii-production-sro pp#17329 FO 2459/2021, pak:p, licence-na-promitani-ceska-trebova, artinii-production-sro",d
2021-07-29,-500,Bezhotovostní platba,"","pp#17322 FO 2452/2021, pak:p, poplatek-za-zabor-hermanuv-mestec, hermanuv-mestec",,6487241,42021,"pp#17322 FO 2452/2021, pak:p, poplatek-za-zabor-hermanuv-mestec, hermanuv-mestec",pirati_stan,"pp#17322 FO 2452/2021, pak:p, poplatek-za-zabor-hermanuv-mestec, hermanuv-mestec pp#17322 FO 2452/2021, pak:p, poplatek-za-zabor-hermanuv-mestec, hermanuv-mestec",d
2021-07-29,-1200,Bezhotovostní platba,"","pp#17157 FO 2301/2021, pak:p, grafika-na-placky, hedvika-bacikova",,1,42021,"pp#17157 FO 2301/2021, pak:p, grafika-na-placky, hedvika-bacikova",pirati_stan,"pp#17157 FO 2301/2021, pak:p, grafika-na-placky, hedvika-bacikova pp#17157 FO 2301/2021, pak:p, grafika-na-placky, hedvika-bacikova",d
2021-07-29,-1270,Bezhotovostní platba,"","pp#17441 FO 2552/2021, pak:p, paletova-lavicka-chrudim, luccy-reality-sro",,210100073,42021,"pp#17441 FO 2552/2021, pak:p, paletova-lavicka-chrudim, luccy-reality-sro",pirati_stan,"pp#17441 FO 2552/2021, pak:p, paletova-lavicka-chrudim, luccy-reality-sro pp#17441 FO 2552/2021, pak:p, paletova-lavicka-chrudim, luccy-reality-sro",d
2021-07-29,-20000,Bezhotovostní platba,"","pp#17449 FO 2560/2021, msk:p, proplaceni-vedouci-mo-msk-202106, zuzanaklusova",,202119,,"pp#17449 FO 2560/2021, msk:p, proplaceni-vedouci-mo-msk-202106, zuzanaklusova",pirati_stan,"pp#17449 FO 2560/2021, msk:p, proplaceni-vedouci-mo-msk-202106, zuzanaklusova pp#17449 FO 2560/2021, msk:p, proplaceni-vedouci-mo-msk-202106, zuzanaklusova",d
2021-07-29,-15730,Bezhotovostní platba,"","pp#17458 FO 2569/2021, khk:p, palety-na-lavicky, chaloupka-jan",,106202,42021,"pp#17458 FO 2569/2021, khk:p, palety-na-lavicky, chaloupka-jan",pirati_stan,"pp#17458 FO 2569/2021, khk:p, palety-na-lavicky, chaloupka-jan pp#17458 FO 2569/2021, khk:p, palety-na-lavicky, chaloupka-jan",o
2021-07-29,-46,Bezhotovostní platba,"","pp#17421 FO 2537/2021, khk:p, lavicka-dknl, mesto-dvur-kralove-nad-labem",,8005001533,42021,"pp#17421 FO 2537/2021, khk:p, lavicka-dknl, mesto-dvur-kralove-nad-labem",pirati_stan,"pp#17421 FO 2537/2021, khk:p, lavicka-dknl, mesto-dvur-kralove-nad-labem pp#17421 FO 2537/2021, khk:p, lavicka-dknl, mesto-dvur-kralove-nad-labem",o
2021-07-29,-10640,Bezhotovostní platba,"","pp#17408 FO 2524/2021, jhm:p, catering-lidr_tour-177, ing-jan-vrba",,1,42021,"pp#17408 FO 2524/2021, jhm:p, catering-lidr_tour-177, ing-jan-vrba",pirati_stan,"pp#17408 FO 2524/2021, jhm:p, catering-lidr_tour-177, ing-jan-vrba pp#17408 FO 2524/2021, jhm:p, catering-lidr_tour-177, ing-jan-vrba",d
2021-07-29,-2500,Bezhotovostní platba,"","pp#17406 FO 2522/2021, jhm:p, editace-audiovizualnich-materialu, tomas-zilinsky",,25222021,42021,"pp#17406 FO 2522/2021, jhm:p, editace-audiovizualnich-materialu, tomas-zilinsky",pirati_stan,"pp#17406 FO 2522/2021, jhm:p, editace-audiovizualnich-materialu, tomas-zilinsky pp#17406 FO 2522/2021, jhm:p, editace-audiovizualnich-materialu, tomas-zilinsky",d
2021-07-29,-17494.59,Karetní transakce,"","Nákup: FACEBK *AJNBD6KXE2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 28.7.2021, částka  17494.59 CZK",,6835,,"Nákup: FACEBK *AJNBD6KXE2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 28.7.2021, částka  17494.59 CZK",pirati_stan,"Nakup: FACEBK *AJNBD6KXE2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 28.7.2021, castka 17494.59 CZK Nakup: FACEBK *AJNBD6KXE2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 28.7.2021, castka 17494.59 CZK",f
2021-07-28,169740,Platba převodem uvnitř banky,STAROSTOVÉ A NEZÁVISLÍ,STAN - převod prostředků na volební účet,,,,STAN - převod prostředků na volební účet,pirati_stan,STAN - prevod prostredku na volebni ucet STAN - prevod prostredku na volebni ucet,d
2021-07-28,-35000,Platba převodem uvnitř banky,"","pp#17409 FO 2525/2021, lbk:p, odmena-vm-cerven, petr-jenik",308,202103,,"pp#17409 FO 2525/2021, lbk:p, odmena-vm-cerven, petr-jenik",pirati_stan,"pp#17409 FO 2525/2021, lbk:p, odmena-vm-cerven, petr-jenik pp#17409 FO 2525/2021, lbk:p, odmena-vm-cerven, petr-jenik",d
2021-07-28,-35000,Platba převodem uvnitř banky,"","pp#17407 FO 2523/2021, lbk:p, odmena-vm-kveten, petr-jenik",208,202102,,"pp#17407 FO 2523/2021, lbk:p, odmena-vm-kveten, petr-jenik",pirati_stan,"pp#17407 FO 2523/2021, lbk:p, odmena-vm-kveten, petr-jenik pp#17407 FO 2523/2021, lbk:p, odmena-vm-kveten, petr-jenik",d
2021-07-28,-7650,Karetní transakce,"","Nákup: FOTOBANKA CTK,  Opletalova 5/7, PRAHA, 111 44, CZE, dne 27.7.2021, částka  7650.00 CZK",,9967,,"Nákup: FOTOBANKA CTK,  Opletalova 5/7, PRAHA, 111 44, CZE, dne 27.7.2021, částka  7650.00 CZK",pirati_stan,"Nakup: FOTOBANKA CTK, Opletalova 5/7, PRAHA, 111 44, CZE, dne 27.7.2021, castka 7650.00 CZK Nakup: FOTOBANKA CTK, Opletalova 5/7, PRAHA, 111 44, CZE, dne 27.7.2021, castka 7650.00 CZK",d
2021-07-28,-119,Karetní transakce,"","Nákup: PPL CZ,  PPL CZ, Ricany, 25101, CZE, dne 27.7.2021, částka  119.00 CZK",,9967,,"Nákup: PPL CZ,  PPL CZ, Ricany, 25101, CZE, dne 27.7.2021, částka  119.00 CZK",pirati_stan,"Nakup: PPL CZ, PPL CZ, Ricany, 25101, CZE, dne 27.7.2021, castka 119.00 CZK Nakup: PPL CZ, PPL CZ, Ricany, 25101, CZE, dne 27.7.2021, castka 119.00 CZK",d
2021-07-28,-15000,Karetní transakce,"","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 27.7.2021, částka  15000.00 CZK",,8267,,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 27.7.2021, částka  15000.00 CZK",pirati_stan,"Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 27.7.2021, castka 15000.00 CZK Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 27.7.2021, castka 15000.00 CZK",d
2021-07-27,-500,Karetní transakce,"","Nákup: FACEBK *RXQW4634Q2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 26.7.2021, částka  500.00 CZK",,6835,,"Nákup: FACEBK *RXQW4634Q2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 26.7.2021, částka  500.00 CZK",pirati_stan,"Nakup: FACEBK *RXQW4634Q2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 26.7.2021, castka 500.00 CZK Nakup: FACEBK *RXQW4634Q2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 26.7.2021, castka 500.00 CZK",f
2021-07-27,-15000,Karetní transakce,"","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 26.7.2021, částka  15000.00 CZK",,8267,,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 26.7.2021, částka  15000.00 CZK",pirati_stan,"Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 26.7.2021, castka 15000.00 CZK Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 26.7.2021, castka 15000.00 CZK",d
2021-07-26,-15000,Karetní transakce,"","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 26.7.2021, částka  15000.00 CZK",,8267,,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 26.7.2021, částka  15000.00 CZK",pirati_stan,"Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 26.7.2021, castka 15000.00 CZK Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 26.7.2021, castka 15000.00 CZK",d
2021-07-26,-931.7,Platba převodem uvnitř banky,"","pp#17422 FO 2538/2021, stc:p, skoleni-gdpr, crdr-spol-s-ro",308,120211825,,"pp#17422 FO 2538/2021, stc:p, skoleni-gdpr, crdr-spol-s-ro",pirati_stan,"pp#17422 FO 2538/2021, stc:p, skoleni-gdpr, crdr-spol-s-ro pp#17422 FO 2538/2021, stc:p, skoleni-gdpr, crdr-spol-s-ro",d
2021-07-26,-7900,Bezhotovostní platba,"","pp#17420 FO 2536/2021, stc:p, zabor-lavicky-votice, mestsky-urad-votice",,9030000139,42021,"pp#17420 FO 2536/2021, stc:p, zabor-lavicky-votice, mestsky-urad-votice",pirati_stan,"pp#17420 FO 2536/2021, stc:p, zabor-lavicky-votice, mestsky-urad-votice pp#17420 FO 2536/2021, stc:p, zabor-lavicky-votice, mestsky-urad-votice",d
2021-07-26,-11950,Bezhotovostní platba,"","pp#17417 FO 2533/2021, cen:vs, fotograf-lidr-tour-cervenec, cityboys-sro",,20210701,42021,"pp#17417 FO 2533/2021, cen:vs, fotograf-lidr-tour-cervenec, cityboys-sro",pirati_stan,"pp#17417 FO 2533/2021, cen:vs, fotograf-lidr-tour-cervenec, cityboys-sro pp#17417 FO 2533/2021, cen:vs, fotograf-lidr-tour-cervenec, cityboys-sro",d
2021-07-26,-165,Bezhotovostní platba,"","pp#17413 FO 2529/2021, stc:p, parkovne-beroun-namesti, mesto-beroun",,25292021,42021,"pp#17413 FO 2529/2021, stc:p, parkovne-beroun-namesti, mesto-beroun",pirati_stan,"pp#17413 FO 2529/2021, stc:p, parkovne-beroun-namesti, mesto-beroun pp#17413 FO 2529/2021, stc:p, parkovne-beroun-namesti, mesto-beroun",d
2021-07-26,-2331,Bezhotovostní platba,"","pp#17412 FO 2528/2021, stc:p, obed-akce-v-beroune-237, adminga-sro",,25282021,42021,"pp#17412 FO 2528/2021, stc:p, obed-akce-v-beroune-237, adminga-sro",pirati_stan,"pp#17412 FO 2528/2021, stc:p, obed-akce-v-beroune-237, adminga-sro pp#17412 FO 2528/2021, stc:p, obed-akce-v-beroune-237, adminga-sro",d
2021-07-26,-84700,Bezhotovostní platba,"","pp#17376 FO 2502/2021, cen:vs, spindoctor-cervenec, martin-charvat",308,20210027,42021,"pp#17376 FO 2502/2021, cen:vs, spindoctor-cervenec, martin-charvat",pirati_stan,"pp#17376 FO 2502/2021, cen:vs, spindoctor-cervenec, martin-charvat pp#17376 FO 2502/2021, cen:vs, spindoctor-cervenec, martin-charvat",d
2021-07-26,-11000,Bezhotovostní platba,"","pp#17364 FO 2493/2021, cen:vs, fotograf-lidr-tour, ales-malar",,2207,42021,"pp#17364 FO 2493/2021, cen:vs, fotograf-lidr-tour, ales-malar",pirati_stan,"pp#17364 FO 2493/2021, cen:vs, fotograf-lidr-tour, ales-malar pp#17364 FO 2493/2021, cen:vs, fotograf-lidr-tour, ales-malar",d
2021-07-26,-10000,Karetní transakce,"","Nákup: SEZNAM.CZ,  ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 25.7.2021, částka  10000.00 CZK",,8267,,"Nákup: SEZNAM.CZ,  ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 25.7.2021, částka  10000.00 CZK",pirati_stan,"Nakup: SEZNAM.CZ, ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 25.7.2021, castka 10000.00 CZK Nakup: SEZNAM.CZ, ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 25.7.2021, castka 10000.00 CZK",s
2021-07-26,-15000,Karetní transakce,"","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 25.7.2021, částka  15000.00 CZK",,8267,,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 25.7.2021, částka  15000.00 CZK",pirati_stan,"Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 25.7.2021, castka 15000.00 CZK Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 25.7.2021, castka 15000.00 CZK",d
2021-07-26,-15000,Karetní transakce,"","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 25.7.2021, částka  15000.00 CZK",,8267,,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 25.7.2021, částka  15000.00 CZK",pirati_stan,"Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 25.7.2021, castka 15000.00 CZK Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 25.7.2021, castka 15000.00 CZK",d
2021-07-26,-15000,Karetní transakce,"","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 24.7.2021, částka  15000.00 CZK",,8267,,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 24.7.2021, částka  15000.00 CZK",pirati_stan,"Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 24.7.2021, castka 15000.00 CZK Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 24.7.2021, castka 15000.00 CZK",d
2021-07-26,-15000,Karetní transakce,"","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 24.7.2021, částka  15000.00 CZK",,8267,,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 24.7.2021, částka  15000.00 CZK",pirati_stan,"Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 24.7.2021, castka 15000.00 CZK Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 24.7.2021, castka 15000.00 CZK",d
2021-07-26,-500,Karetní transakce,"","Nákup: FACEBK *QRE8V6FVY2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 25.7.2021, částka  500.00 CZK",,8267,,"Nákup: FACEBK *QRE8V6FVY2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 25.7.2021, částka  500.00 CZK",pirati_stan,"Nakup: FACEBK *QRE8V6FVY2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 25.7.2021, castka 500.00 CZK Nakup: FACEBK *QRE8V6FVY2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 25.7.2021, castka 500.00 CZK",f
2021-07-26,-20000,Karetní transakce,"","Nákup: FACEBK *JS66K6TVF2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 25.7.2021, částka  20000.00 CZK",,8267,,"Nákup: FACEBK *JS66K6TVF2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 25.7.2021, částka  20000.00 CZK",pirati_stan,"Nakup: FACEBK *JS66K6TVF2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 25.7.2021, castka 20000.00 CZK Nakup: FACEBK *JS66K6TVF2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 25.7.2021, castka 20000.00 CZK",f
2021-07-26,2795,Bezhotovostní příjem,"Hypoteční banka, a.s",Neexistující účet - číslo účtu 000000-2800088628,6,12,42021,"Hypoteční banka, a.s",pirati_stan,"Neexistujici ucet - cislo uctu 000000-2800088628 Hypotecni banka, a.s",d
2021-07-24,-181.46,Karetní transakce,"","Nákup: FACEBK *MXA4V5PRG2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 24.7.2021, částka  181.46 CZK",,6835,,"Nákup: FACEBK *MXA4V5PRG2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 24.7.2021, částka  181.46 CZK",pirati_stan,"Nakup: FACEBK *MXA4V5PRG2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 24.7.2021, castka 181.46 CZK Nakup: FACEBK *MXA4V5PRG2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 24.7.2021, castka 181.46 CZK",f
2021-07-24,-15000,Karetní transakce,"","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 23.7.2021, částka  15000.00 CZK",,8267,,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 23.7.2021, částka  15000.00 CZK",pirati_stan,"Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 23.7.2021, castka 15000.00 CZK Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 23.7.2021, castka 15000.00 CZK",d
2021-07-24,-122.89,Karetní transakce,"","Nákup: FACEBK *JQ8J2FTKX2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, částka  122.89 CZK",,6835,,"Nákup: FACEBK *JQ8J2FTKX2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, částka  122.89 CZK",pirati_stan,"Nakup: FACEBK *JQ8J2FTKX2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, castka 122.89 CZK Nakup: FACEBK *JQ8J2FTKX2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, castka 122.89 CZK",f
2021-07-24,-3040.11,Karetní transakce,"","Nákup: FACEBK *FJAQU63PY2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, částka  3040.11 CZK",,8267,,"Nákup: FACEBK *FJAQU63PY2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, částka  3040.11 CZK",pirati_stan,"Nakup: FACEBK *FJAQU63PY2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, castka 3040.11 CZK Nakup: FACEBK *FJAQU63PY2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, castka 3040.11 CZK",f
2021-07-24,-15000,Karetní transakce,"","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 23.7.2021, částka  15000.00 CZK",,8267,,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 23.7.2021, částka  15000.00 CZK",pirati_stan,"Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 23.7.2021, castka 15000.00 CZK Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 23.7.2021, castka 15000.00 CZK",d
2021-07-24,-5000,Karetní transakce,"","Nákup: FACEBK *TJTDS6FRG2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, částka  5000.00 CZK",,6835,,"Nákup: FACEBK *TJTDS6FRG2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, částka  5000.00 CZK",pirati_stan,"Nakup: FACEBK *TJTDS6FRG2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, castka 5000.00 CZK Nakup: FACEBK *TJTDS6FRG2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, castka 5000.00 CZK",f
2021-07-24,-20000,Karetní transakce,"","Nákup: FACEBK *MSMVS63VF2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, částka  20000.00 CZK",,8267,,"Nákup: FACEBK *MSMVS63VF2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, částka  20000.00 CZK",pirati_stan,"Nakup: FACEBK *MSMVS63VF2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, castka 20000.00 CZK Nakup: FACEBK *MSMVS63VF2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, castka 20000.00 CZK",f
2021-07-23,-15000,Karetní transakce,"","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 23.7.2021, částka  15000.00 CZK",,8267,,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 23.7.2021, částka  15000.00 CZK",pirati_stan,"Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 23.7.2021, castka 15000.00 CZK Nakup: GOOGLE *ADS5162857564, Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 23.7.2021, castka 15000.00 CZK",d
2021-07-23,-63416,Platba převodem uvnitř banky,"","pp#17397 FO 2515/2021, pha:p, merch, need-art-sro",8,2421,42021,"pp#17397 FO 2515/2021, pha:p, merch, need-art-sro",pirati_stan,"pp#17397 FO 2515/2021, pha:p, merch, need-art-sro pp#17397 FO 2515/2021, pha:p, merch, need-art-sro",d
2021-07-23,-2795,Bezhotovostní platba,"","pp#17365 FO 2494/2021, jhm:p, material-na-neckyadu, provozni-vydaje",,12,42021,"pp#17365 FO 2494/2021, jhm:p, material-na-neckyadu, provozni-vydaje",pirati_stan,"pp#17365 FO 2494/2021, jhm:p, material-na-neckyadu, provozni-vydaje pp#17365 FO 2494/2021, jhm:p, material-na-neckyadu, provozni-vydaje",d
2021-07-23,-321.54,Bezhotovostní platba,"","pp#17354 FO 2484/2021, khk:p, zasilkovna, zasilkovna-sro",,11,42021,"pp#17354 FO 2484/2021, khk:p, zasilkovna, zasilkovna-sro",pirati_stan,"pp#17354 FO 2484/2021, khk:p, zasilkovna, zasilkovna-sro pp#17354 FO 2484/2021, khk:p, zasilkovna, zasilkovna-sro",o
2021-07-23,-35000,Bezhotovostní platba,"","pp#17343 FO 2473/2021, msk:p, proplaceni-medialni-koordinator-202106, janaozanova",,202107,,"pp#17343 FO 2473/2021, msk:p, proplaceni-medialni-koordinator-202106, janaozanova",pirati_stan,"pp#17343 FO 2473/2021, msk:p, proplaceni-medialni-koordinator-202106, janaozanova pp#17343 FO 2473/2021, msk:p, proplaceni-medialni-koordinator-202106, janaozanova",d
2021-07-23,-7260,Bezhotovostní platba,"","pp#17335 FO 2465/2021, stc:p, brozury, tiskarna-daniel-sro",308,221070054,42021,"pp#17335 FO 2465/2021, stc:p, brozury, tiskarna-daniel-sro",pirati_stan,"pp#17335 FO 2465/2021, stc:p, brozury, tiskarna-daniel-sro pp#17335 FO 2465/2021, stc:p, brozury, tiskarna-daniel-sro",d
2021-07-23,-18750,Bezhotovostní platba,"","pp#17334 FO 2464/2021, jhm:p, linda-hrubesova-pr-cerven-2021, linda-hrubesova",,20216,0,"pp#17334 FO 2464/2021, jhm:p, linda-hrubesova-pr-cerven-2021, linda-hrubesova",pirati_stan,"pp#17334 FO 2464/2021, jhm:p, linda-hrubesova-pr-cerven-2021, linda-hrubesova pp#17334 FO 2464/2021, jhm:p, linda-hrubesova-pr-cerven-2021, linda-hrubesova",d
2021-07-23,-31250,Bezhotovostní platba,"","pp#17333 FO 2463/2021, jhm:p, magda-koutska-pr-cerven-2021, magdalena-koutska",,21060003,0,"pp#17333 FO 2463/2021, jhm:p, magda-koutska-pr-cerven-2021, magdalena-koutska",pirati_stan,"pp#17333 FO 2463/2021, jhm:p, magda-koutska-pr-cerven-2021, magdalena-koutska pp#17333 FO 2463/2021, jhm:p, magda-koutska-pr-cerven-2021, magdalena-koutska",d
2021-07-23,-7500,Okamžitá odchozí platba,"","pp#17373 FO 2499/2021, cen:vs, predvolebni-web-konzultace-a-textova-uprava-2-sady-programovych-bodu, radek-antl",,20210041,42021,"pp#17373 FO 2499/2021, cen:vs, predvolebni-web-konzultace-a-textova-uprava-2-sady-programovych-bodu, radek-antl",pirati_stan,"pp#17373 FO 2499/2021, cen:vs, predvolebni-web-konzultace-a-textova-uprava-2-sady-programovych-bodu, radek-antl pp#17373 FO 2499/2021, cen:vs, predvolebni-web-konzultace-a-textova-uprava-2-sady-programovych-bodu, radek-antl",d
2021-07-23,-1414.5,Karetní transakce,"","Nákup: FACEBK *JYKNB4FC52,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 22.7.2021, částka  1414.50 CZK",,6835,,"Nákup: FACEBK *JYKNB4FC52,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 22.7.2021, částka  1414.50 CZK",pirati_stan,"Nakup: FACEBK *JYKNB4FC52, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 22.7.2021, castka 1414.50 CZK Nakup: FACEBK *JYKNB4FC52, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 22.7.2021, castka 1414.50 CZK",f
